Provincia;Identificador_Canton;Identificador_Parroquia;Zona;Sector;Numero_vivienda;Tipo_via;Tipo_vivienda;Condicion_ocupacion_vivienda_particular;Condicion_ocupacion_vivienda_colectiva;Material_predominante_techo_o_cubierta;Estado_techo_o_cubierta;Material_predominante_paredes_exteriores;Estado_paredes_exteriores;Material_predominante_piso;Estado_piso;El_agua_que_recibe_la_vivienda_es;El_agua_que_recibe_la_vivienda_proviene_o_es_suministrada_por;El_servicio_higienico_de_la_vivienda_es;Disponibilidad_de_energia_electrica_por_red_publica;Disponibilidad_de_otra_fuente_de_energia_electrica;Eliminacion_de_la_basura;Numero_cuartos;Todas_las_personas_comparten_un_mismo_gasto_para_la_alimentacion;Numero_hogares;Area_urbana_o_rural;CANTON;PARROQ;ID_VIV;Total_fallecidos_de_la_vivienda;Total_emigrantes_de_la_vivienda;Total_personas_de_la_vivienda;Condicion_ocupacion_de_la_vivienda_particular(recodificada);Numero_cuartos(recodificada);Registro_imputado_en_vivienda_ocupada_con_personas_ausentes
"Azuay";1;62;1;4;90;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010040090;0;0;5;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;4;150;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010040150;0;0;3;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;5;33;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010050033;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;5;34;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010050034;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;5;40;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010050040;0;0;5;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;5;46;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010050046;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;5;47;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010050047;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;5;52;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010050052;0;0;3;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;5;60;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010050060;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;5;82;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010050082;0;0;1;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;6;67;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010060067;0;0;1;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;6;87;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010060087;0;0;1;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;6;97;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010060097;0;0;3;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;6;104;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010060104;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;6;136;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010060136;0;0;1;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;6;143;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010060143;0;0;1;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;6;153;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010060153;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;6;193;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010060193;0;0;2;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;6;203;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010060203;0;0;3;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;6;208;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010060208;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;6;228;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010060228;0;0;2;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;6;241;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010060241;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;7;43;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010070043;0;0;5;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;7;47;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010070047;0;0;3;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;7;55;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010070055;0;0;6;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;7;78;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010070078;0;0;3;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;7;79;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010070079;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;7;82;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010070082;0;0;5;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;2;1;36;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620020010036;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;2;2;65;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620020020065;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;2;3;18;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620020030018;0;0;5;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;2;3;36;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620020030036;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;2;3;72;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620020030072;0;0;3;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;2;3;77;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620020030077;0;0;5;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;2;3;84;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620020030084;0;0;1;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;2;3;111;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620020030111;0;0;2;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;2;5;62;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620020050062;0;0;2;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;2;5;107;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620020050107;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;2;6;14;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620020060014;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;2;6;17;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620020060017;0;0;3;"Ocupada";"Cuatro cuartos";"No"
