Provincia;Identificador_Canton;Identificador_Parroquia;Zona;Sector;Numero_vivienda;Numero_hogar;Numero_persona_emigrante;Año_salida;Sexo_emigrante;Edad_salida;pais_actual_residencia;Area_urbana_o_rural;CANTON;PARROQ;ID_VIV;ID_HOG;ID_EMI
"Azuay";1;62;999;22;24;1;1;2021;"Hombre";28;881840;"Area rural";"Cuenca";"Ricaurte";101629990220024;10162999022002401;1016299902200240101
"Azuay";1;62;999;22;45;1;1;2021;"Mujer";28;881840;"Area rural";"Cuenca";"Ricaurte";101629990220045;10162999022004501;1016299902200450101
"Azuay";1;62;999;23;1;1;1;2021;"Hombre";38;881840;"Area rural";"Cuenca";"Ricaurte";101629990230001;10162999023000101;1016299902300010101
"Azuay";1;62;999;23;46;1;1;2021;"Hombre";36;881840;"Area rural";"Cuenca";"Ricaurte";101629990230046;10162999023004601;1016299902300460101
"Azuay";1;62;999;25;3;1;1;2021;"Hombre";23;881840;"Area rural";"Cuenca";"Ricaurte";101629990250003;10162999025000301;1016299902500030101
"Azuay";1;62;999;25;29;1;1;2021;"Hombre";50;881840;"Area rural";"Cuenca";"Ricaurte";101629990250029;10162999025002901;1016299902500290101
"Azuay";1;62;999;25;37;1;1;2021;"Mujer";37;881840;"Area rural";"Cuenca";"Ricaurte";101629990250037;10162999025003701;1016299902500370101
"Azuay";1;62;999;26;11;1;1;2021;"Hombre";45;881840;"Area rural";"Cuenca";"Ricaurte";101629990260011;10162999026001101;1016299902600110101
"Azuay";1;62;999;26;18;1;1;2021;"Mujer";22;881840;"Area rural";"Cuenca";"Ricaurte";101629990260018;10162999026001801;1016299902600180101
"Azuay";1;62;999;30;26;1;1;2021;"Mujer";41;881840;"Area rural";"Cuenca";"Ricaurte";101629990300026;10162999030002601;1016299903000260101
"Azuay";1;62;999;31;31;1;1;2021;"Hombre";36;881840;"Area rural";"Cuenca";"Ricaurte";101629990310031;10162999031003101;1016299903100310101
"Azuay";1;62;999;31;36;1;1;2021;"Hombre";999;881840;"Area rural";"Cuenca";"Ricaurte";101629990310036;10162999031003601;1016299903100360101
"Azuay";1;62;999;32;4;1;1;2021;"Hombre";23;881840;"Area rural";"Cuenca";"Ricaurte";101629990320004;10162999032000401;1016299903200040101
"Azuay";1;62;999;32;56;1;1;2021;"Mujer";25;881840;"Area rural";"Cuenca";"Ricaurte";101629990320056;10162999032005601;1016299903200560101
"Azuay";1;62;999;32;57;1;1;2021;"Hombre";23;881840;"Area rural";"Cuenca";"Ricaurte";101629990320057;10162999032005701;1016299903200570101
